ACCESSION_NUMBER	INTEREST_RATE_RISK_ID	CURRENCY_CODE	INTRST_RATE_CHANGE_3MON_DV01	INTRST_RATE_CHANGE_1YR_DV01	INTRST_RATE_CHANGE_5YR_DV01	INTRST_RATE_CHANGE_10YR_DV01	INTRST_RATE_CHANGE_30YR_DV01	INTRST_RATE_CHANGE_3MON_DV100	INTRST_RATE_CHANGE_1YR_DV100	INTRST_RATE_CHANGE_5YR_DV100	INTRST_RATE_CHANGE_10YR_DV100	INTRST_RATE_CHANGE_30YR_DV100
0000106444-25-000235	328833	GBP	212.76617331	-1434.33515548	-16701.09702529	10360.49374582	1990.10429363	21168.08553477	-142430.30949542	-1659250.13195123	943434.88611832	197534.01282638
0001532203-25-000068	328924	IDR	6566.82727979	-69970.93888608	-247370.6118953	-380221.14553354	-99289.3991264	655840.6212831	-6941170.78338028	-24263424.10379968	-36444662.15211073	-9385221.54582881
0001099263-25-004413	325159	DKK	0	0	0	.000413	.000034	0	0	0	.039532	.003274
0001099263-25-004413	325168	BRL	16347.043563	95630.127432	6185.711703	0	0	1624055.187158	9465034.91902	608605.533555	0	0
0001099263-25-004484	325744	NGN	1061.489825	1681.8748	0	0	0	105508.850117	167171.184069	0	0	0
0001193125-25-334136	329605	CNY	-191.0687798	-26878.77	-45698.83	-59309.99	-34382.62	-19109.21	-2669369.35	-4506525.85	-5725600.48	-3045588.8
0001193125-25-334136	329601	EUR	2998.97	-74113.78	-438738.04	-213534.96	2592.85	300806.57	-7359852.45	-42938268.17	-20541042.88	-393476.66
0000106444-25-000232	328819	EUR	1690.52427264	-49379.61336569	30298.88187298	102.16348814	1072.92813779	167620.61631716	-4991804.33109685	1956487.81309837	-77353.78322059	85237.93103066
0000940400-25-014474	328940	EUR	78941.38664	69674.24017	12849.24136	-15211.47216	2511.57528	7894138.65851	6967424.01092	1284924.13441	-1521147.2093	251157.5289
0001193125-25-293300	322364	EUR	-8348.5085325	-65384.3656273	-119898.7742867	177327.4488153	3783.8491755	-835650.2009659	-6495326.1865234	-11763576.8931885	17007534.2860718	307679.2871094
0001193125-25-251557	319867	USD	37481.67944	-3393393.538	-6369349.555	-1012516.551	-595681.5281	8247175.903	-339169724.8	-634212258	-127152932	-58516207
0001193125-25-293287	322370	JPY	-27949.6061497	-3109.9635925	510815.3816077	96975.5605469	-556149.0019531	-2797749.8274569	-309016.0917969	50075386.2388916	10557143.6875	-50312864
0001193125-25-293287	322375	GBP	1119.7967438	850.5623291	-2525.2801723	-3729.5600586	-1533.4205322	111948.2477074	84497.0378113	-245425.6311035	-353026.03125	-149870.984375
0001193125-25-293287	322373	CAD	-69463.5304985	-115130.0722656	-57.0021973	0	0	-6985332.5014648	-11512859.125	-5691.34375	0	0
0001003715-25-001337	323004	ZAR	0	532.363233	20802.100292	79550.868585	10631.26487	0	53936.397563	2121694.54653	8314824.140868	1122200.28863
0001003715-25-001337	322996	BRL	4823.520523	2372.223208	10832.217962	568.14515	0	473168.349862	232705.745834	1069715.180398	56106.098799	0
0001003715-25-001337	323002	USD	4967371.253075	1123252.828874	7206678.67691	9733207.735002	4382770.303981	503651423.947245	104079594.936842	644856212.198921	959278362.561581	446339336.253004
0001410368-25-022019	321293	USD	287872.42	-2793195.94	-6683953.52	-7434286.59	-4089272.86	29602933.79	-261853234.82	-625096333.3	-742524823.2	-383241121.04
0002071691-25-003733	320213	USD	33865.61	387592.23	13171683.1	11681779.32	0	2963974.77	38776884.54	1317842063.56	1168946266.93	0
0002071691-25-007650	324676	AUD	0	0	0	0	0	0	0	0	0	0
0000836906-25-000263	323163	GBP	28.40678632	0	0	0	0	2830.89200138	0	0	0	0
0000794105-25-000140	323171	USD	-52705.62877811	-7467630.35032398	-8982440.60039615	-2575.46715676	-385.27317173	-5372028.88191857	-741004867.8419206	-886050394.1103845	-328984.18815883	-32509.48805393
0000836906-25-000266	323237	USD	-252425.55753303	-6141991.27078485	-8250080.72497034	0	0	-25160576.5966711	-609457281.1589491	-812330949.8026897	0	0
0002071691-25-007667	324865	ARS	229.34	0	0	0	0	22979.97	0	0	0	0
