HOLDING_ID	PAYOFF_PROFILE	EXPIRATION_DATE	NOTIONAL_AMOUNT	CURRENCY_CODE	UNREALIZED_APPRECIATION
160911497	Long	10-DEC-2025	169919076.13	EUR	2255067.07
157663125	Long	03-NOV-2025	4421066657.04	USD	-1397759.21
156453285	Long	31-DEC-2025	1646282179.81	USD	3006828
159346230	Long	15-DEC-2026	231949762.5	USD	2042556.59
156389026	Long	31-DEC-2025	262906306.71	USD	537732.35
160947158	Long	11-DEC-2025	14944437205	JPY	5652497.28
160383617	Long	31-DEC-2025	1612300915.62	USD	-2797044.57
160384755	Short	19-DEC-2025	-376126377.28	USD	-1549747.72
159169940	Short	08-DEC-2025	-61933680	EUR	206071.58
158244697	Long	19-DEC-2025	12887856.18	USD	-71676.18
159268191	N/A	09-DEC-2025		EUR	
158933743	Long	19-DEC-2025	41738325	USD	106050
159751977	Short	17-NOV-2025	-198841625	USD	7457287.5
159749478	Short	26-FEB-2026	-6580180	USD	-49910
159753661	Long	16-DEC-2025	2834680	USD	-202570
159751638	Long	30-DEC-2025	106566300	USD	2804500
159752456	Long	16-DEC-2025	2540736.5	USD	6109
159749212	Short	02-FEB-2026	-6730117.8	USD	29857.8
159747467	Long	03-NOV-2025	3810080.4	USD	-100816.8
159752292	Short	16-DEC-2025	-197785332.82	AUD	-170730.76
159747687	Long	09-DEC-2025	907553404.55	EUR	678839.37
159299906	N/A	09-DEC-2025		EUR	
158496015	Long	16-JUN-2026	54011159.12	USD	28840.88
156375902	Short	29-DEC-2025	-3166440.61	GBP	-5988.14
156388411	Long	19-SEP-2025	4676236.93	USD	300343.07
161041787	Short	27-NOV-2025	-30744.96	USD	241.37
161020675	Long	18-DEC-2025	170523870.6	AUD	132514.98
160947172	Long	19-DEC-2025	238695789.27	EUR	6674230.81
160407741	Short	08-DEC-2025	-517470693.98	EUR	-439901.46
158471039	Long	19-DEC-2025	222998759.9	USD	6224552.6
156270571	Short	19-SEP-2025	-167371708.156449	USD	-10628916.843551
159133546	Short	19-DEC-2025	-10568250	USD	-44138.16
160531881	Long	04-DEC-2025	10235665	USD	-7540
160530151	Long	04-DEC-2025	9968477	USD	-19258
156392775	Long	19-DEC-2025	1054408943.47	USD	4813150.28
159752727	Long	30-DEC-2025	275658951.29	GBP	68318.87
159755079	Long	22-DEC-2025	1199806078.13	USD	-1118578.13
159753105	Short	16-DEC-2025	-3916540.62	USD	-7750.24
156612712	Long	19-DEC-2025	2401028625	USD	14885534.56
158209975	Long	19-DEC-2025	382134285.57	USD	5343839.43
156417586	N/A	26-SEP-2025		USD	
157926990	Long	19-DEC-2025	2423126.13	USD	28933.87
158228863	Long	19-DEC-2025	35824381.25	USD	794681.25
159275661	N/A	20-DEC-2025		USD	
160885277	Long	31-DEC-2025	60423970.62	CAD	846694.42
159747634	Short	01-JAN-2026	-14135515.8	USD	62693.4
157674133	Long	31-DEC-2025	1092262500	USD	-5266936.15
156611328	Long	19-DEC-2025	217417750	USD	56252.68
160888892	Long	31-DEC-2025	97838625	USD	2284432.72
160885290	Short	10-DEC-2025	-166441784.65	EUR	-2092540.43
159753118	Short	16-OCT-2025	-13402279.61	BRL	21733.63
159747228	Long	22-DEC-2025	31999327.54	GBP	10591.06
158180647	Long	19-DEC-2025	253009098.63	USD	1578401.37
158236168	Long	19-DEC-2025	65806441.76	USD	432213.24
157663247	Long	06-JAN-2026	23554858876.32	USD	5847600.17
158276333	Long	19-DEC-2025	3308867	USD	-22667
158505114	Short	19-DEC-2025	0	USD	
160407117	Short	08-DEC-2025	-59497727.33	EUR	-204414.58
156309372	Long	19-SEP-2025	20391301.52	USD	2003308.48
160524580	Short	08-DEC-2025	-279594135.98	USD	-1774335.28
156420353	Short	31-DEC-2025	-24410435.38	USD	-117564.62
157666244	Short	17-JUN-2026	-286378587.5	USD	477179.34
159750871	Long	30-OCT-2025	8761420	USD	354860
159753457	Short	16-DEC-2025	-129589879	USD	328439
159754737	Long	16-DEC-2025	24950465	USD	107095
159749109	Short	23-MAR-2026	-490780	USD	460
157672754	Long	31-DEC-2025	1451708781.25	USD	32280486.4
