ACCESSION_NUMBER	ASSET_CAT	INSTRUMENT_KIND	NET_REALIZED_GAIN_MON1	NET_UNREALIZED_AP_MON1	NET_REALIZED_GAIN_MON2	NET_UNREALIZED_AP_MON2	NET_REALIZED_GAIN_MON3	NET_UNREALIZED_AP_MON3
0000035402-25-001381	Equity Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001381	Equity Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001381	Equity Contracts		123187873.59	-84068134.69	-2330672.22	-35512299	-6968511.85	51958998.75
0000035402-25-001381	Foreign Exchange Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001381	Foreign Exchange Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001381	Foreign Exchange Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001381	Foreign Exchange Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001381	Foreign Exchange Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001381	Foreign Exchange Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001381	Foreign Exchange Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001381	Foreign Exchange Contracts		0	0	0	0	0	0
0000035402-25-001381	Interest Rate Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001381	Interest Rate Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001381	Interest Rate Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001381	Interest Rate Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001381	Interest Rate Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001381	Interest Rate Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001381	Interest Rate Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001381	Interest Rate Contracts		0	0	0	0	0	0
0000035402-25-001381	Other Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001381	Other Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001381	Other Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001381	Other Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001381	Other Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001381	Other Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001381	Other Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001381	Other Contracts		0	0	0	0	0	0
0000035402-25-001386	Commodity Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001386	Commodity Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001386	Commodity Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001386	Commodity Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001386	Commodity Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001386	Commodity Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001386	Commodity Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001386	Commodity Contracts		0	0	0	0	0	0
0000035402-25-001386	Credit Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001386	Credit Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001386	Credit Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001386	Credit Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001386	Credit Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001386	Credit Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001386	Credit Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001386	Credit Contracts		0	0	0	0	0	0
0000035402-25-001386	Equity Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001386	Equity Contracts	Future Category	1474405.83	886929.56	818721.42	403613.03	706345.05	1444221.13
0000035402-25-001386	Equity Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001386	Equity Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001386	Equity Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001386	Equity Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001386	Equity Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001386	Equity Contracts		1474405.83	886929.56	818721.42	403613.03	706345.05	1444221.13
0000035402-25-001386	Foreign Exchange Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001386	Foreign Exchange Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001386	Foreign Exchange Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001386	Foreign Exchange Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001386	Foreign Exchange Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001386	Foreign Exchange Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001386	Foreign Exchange Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001386	Foreign Exchange Contracts		0	0	0	0	0	0
0000035402-25-001386	Interest Rate Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001386	Interest Rate Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001386	Interest Rate Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001386	Interest Rate Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001386	Interest Rate Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001386	Interest Rate Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001386	Interest Rate Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001386	Interest Rate Contracts		0	0	0	0	0	0
0000035402-25-001386	Other Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001386	Other Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001386	Other Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001386	Other Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001386	Other Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001386	Other Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001386	Other Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001386	Other Contracts		0	0	0	0	0	0
0000035402-25-001403	Commodity Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001403	Commodity Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001403	Commodity Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001403	Commodity Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001403	Commodity Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001403	Commodity Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001403	Commodity Contracts	Warrant Category	0	0	0	0	0	0
