ACCESSION_NUMBER	MONTHLY_TOTAL_RETURN_ID	CLASS_ID	MONTHLY_TOTAL_RETURN1	MONTHLY_TOTAL_RETURN2	MONTHLY_TOTAL_RETURN3
0001193125-25-334095	930846	C000164848	2.03621	2.77327999	1.875815
0001193125-25-301809	921835	C000114872	3.87	-.16	3.84
0001084380-25-000525	932560	C000014611	1.796541	3.441429	2.111324
0002071691-25-007840	920613	C000141335	.096221	3.253245	1.816555
0001532203-25-000066	928219	C000109501	.06755	.5671414	1.02838317
0001193125-25-334091	931033	C000042396	1.737647	1.586645	.66055999
0001193125-25-334091	931034	C000042397	1.84099999	1.56632599	.71177599
0001410368-25-040405	925451	C000002744	4.36	1.19	.06
0001410368-25-042035	927428	C000028345	.86	2.91	1.92
0001099263-25-004419	919211	C000026522	-.089125	.41865	.400184
0001193125-25-301782	921660	C000028918	1.31	1.17	2.34
0001193125-25-301782	921663	C000077652	1.31	1.21	2.33
0001193125-25-301782	921665	C000077654	1.29	1.16	2.32
0001193125-25-301782	921667	C000114869	1.33	1.19	2.36
0001193125-25-334199	931279	C000221714	2.233376	1.906424	.237008
0001193125-25-334202	931233	C000024449	1.677529	2.310744	-.30620199
0001193125-25-334202	931238	C000024454	1.698565	2.34190399	-.290156
0001193125-25-334202	931244	C000024462	1.69709	2.31456799	-.28931199
0001193125-25-334202	931250	C000186124	1.696848	2.333394	-.28654
0001193125-25-334214	931468	C000148385	2.64600499	1.312792	-.54900799
0000035402-25-002966	929136	C000254550	1.17	5.68	5.25
0001193125-25-334203	931298	C000024472	2.60431999	1.514035	.021965
0001193125-25-334203	931310	C000224566	2.635799	1.55355	.04727099
0001193125-25-334098	930864	C000042418	1.94235	2.55571199	1.60538
0001193125-25-334098	930868	C000042422	2.02336099	2.68422999	1.6888
0001532203-25-000068	928330	C000217897	-.00612	.59053674	1.04824726
0001193125-25-334932	931786	C000189740	1.323251417769	4.542910447761	4.987953957348
0001410368-25-043401	931788	C000121567	3.27	3.8	-1.96
0001193125-25-334200	931442	C000189488	3.005769	4.246076	2.907009
0001410368-25-043387	931524	C000194633	1.26	.81	.21
0001099263-25-004484	919601	C000222832	.390208	1.246879	.507524
0001099263-25-004484	919602	C000064131	.456793	1.313586	.574151
0001193125-25-334097	931085	C000042427	1.99712	2.682079	1.701604
0001193125-25-334097	931086	C000042428	2.01122	2.684121	1.75583599
0001193125-25-334097	931090	C000135768	2.03600399	2.67445499	1.77661799
0001193125-25-334136	931206	C000096502	1.911852	1.95645199	1.485967
0001193125-25-334136	931207	C000096504	1.817177	1.881143	1.364288
0001193125-25-334136	931213	C000148460	1.842364	1.887695	1.39183999
0001193125-25-334136	931214	C000164811	1.91377499	1.922153	1.46182399
0001193125-25-334136	931218	C000224585	1.88815999	1.95999	1.463565
0001004655-25-000255	928295	C000038295	3.69735	1.95892206	-.31917157
0002071691-25-007782	919958	C000173553	3.4964	1.276175	3.481628
0002071691-25-007782	919960	C000007405	3.529052	1.333938	3.501559
0000940400-25-014474	928381	C000012436	1.3	.96	.63
0000940400-25-014474	928386	C000196668	1.38	1.03	.61
0000857489-25-000152	928235	C000015904	3.91908	2.27175149	.26978417
0000857489-25-000152	928236	C000096107	3.9304	2.27152365	.26744978
0000225997-25-000214	928269	C000007954	.88033	1.91871654	1.08315015
0000898745-25-000869	927125	C000019316	.69	-1.46	-4.21
0000035402-25-002869	928779	C000254557	1.03	5.23	3.75
